FID,X,Y
0,"210,302.63","176,873.71"
1,"232,984.75","190,991.73"
2,"-172,599.13","350,006.07"
3,"91,581.84","139,534.62"
4,"-132,214.45","145,602.19"
5,"109,351.05","105,879.40"
6,"178,692.30","252,950.93"
7,"-196,156.00","192,686.42"
8,"-166,227.96","161,973.11"
9,"-157,082.06","151,659.78"
10,"117,551.46","219,309.71"
11,"204,938.63","110,300.79"
12,"-174,550.53","168,119.19"
13,"-146,935.97","181,126.92"
14,"-55,987.57","274,428.55"
15,"193,921.81","275,099.33"
16,"-84,142.00","218,213.44"
17,"-34,606.04","166,736.71"
18,"-33,749.43","169,033.00"
19,"248,426.94","123,006.92"
20,"-77,968.91","145,465.39"
21,"117,554.25","219,305.61"
22,"-162,797.16","161,944.68"
23,"233,561.72","106,356.65"
24,"65,548.38","91,791.13"
25,"179,804.41","251,637.54"
26,"201,797.04","185,801.90"
27,"199,567.34","329,967.69"
28,"-158,587.75","208,982.74"
29,"148,648.67","231,444.92"
30,"130,173.01","224,268.41"
31,"188,637.40","114,617.69"
32,"-1,406.18","308,107.59"
33,"-137,128.47","326,057.78"
34,"188,931.58","277,876.75"
35,"-77,940.33","145,664.67"
36,"-186,365.55","140,653.01"
37,"66,065.07","131,653.27"
38,"30,247.43","103,733.80"
39,"237,761.59","123,621.96"
40,"-117,228.65","244,321.19"
41,"175,943.70","204,313.03"
42,"177,224.72","150,767.57"
43,"196,783.71","269,162.55"
44,"225,233.02","98,464.18"
45,"85,066.06","251,436.46"
46,"118,235.67","217,334.50"
47,"232,082.34","109,588.84"
48,"-65,082.38","235,081.36"
49,"241,790.06","148,359.37"
50,"-191,788.26","210,114.71"
51,"220,469.19","131,569.05"
52,"-172,324.26","350,069.17"
53,"249,101.93","117,296.88"
54,"266,714.98","136,112.29"
55,"257,356.05","123,348.26"
56,-104.2018284,"103,363.42"
57,"191,764.06","206,015.86"
58,"227,070.57","154,779.21"
59,"117,386.46","219,400.60"
60,"176,822.11","254,152.45"
61,"-135,416.23","114,793.39"
62,"247,680.42","120,233.02"
63,"-187,366.50","162,071.03"
64,"-198,273.74","270,475.04"
65,"237,669.37","225,103.13"
66,"134,559.04","149,586.67"
67,"242,417.26","110,243.23"
68,"-172,546.65","350,034.82"
69,"87,074.41","90,280.37"
70,"95,215.57","140,226.19"
71,"100,634.83","143,249.09"
72,"171,319.54","218,409.50"
73,"-132,007.54","128,292.23"
74,"248,726.74","127,321.76"
75,"239,571.60","135,477.57"
76,"-97,841.74","179,115.09"
77,"237,674.02","110,456.08"
78,"-1,028.21","165,882.17"
79,"-197,847.11","226,189.57"
80,"248,451.40","122,773.66"
81,"61,394.80","244,734.29"
82,"222,752.25","189,214.71"
83,"222,636.52","189,039.10"
84,"244,690.49","112,996.86"
85,"233,907.23","113,386.82"
86,"144,699.46","117,666.49"
87,"36,549.20","179,690.90"
88,"44,482.23","236,796.67"
89,"-118,516.30","147,598.83"
90,"267,065.11","127,459.24"
91,"102,691.17","246,076.85"
92,"112,711.70","141,145.70"
93,"242,225.47","110,125.58"
94,"-196,715.66","192,752.03"
95,"236,702.47","109,383.63"
96,"-168,401.46","161,343.48"
97,"-60,010.99","184,547.90"
98,"176,679.35","316,683.05"
99,"196,405.41","270,305.97"
100,"-162,750.42","133,015.79"
101,"225,300.76","129,511.04"
102,"225,908.95","129,147.99"
103,"-33,002.32","148,712.07"
104,"167,388.34","245,634.65"
105,"236,765.04","129,467.84"
106,"183,576.75","252,947.41"
107,"-177,291.45","165,610.34"
108,"265,258.22","135,915.06"
109,"213,222.36","118,959.97"
110,"243,121.61","108,935.30"
111,"203,140.23","140,720.29"
112,"-166,304.99","161,929.16"
113,"237,811.37","114,809.08"
114,"130,800.36","141,843.79"
115,"224,899.33","163,061.29"
116,"-202,392.75","261,596.06"
117,"87,339.33","134,968.42"
118,"22,056.95","258,508.69"
119,"87,464.25","134,792.10"
120,"247,681.93","117,153.26"
121,"58,185.95","305,054.95"
122,"214,184.21","181,641.62"
123,"245,416.88","115,742.93"
124,"143,292.68","116,914.43"
125,"-160,709.67","167,107.06"
126,"-171,980.63","347,551.05"
127,"-184,464.54","173,554.65"
128,"119,739.86","201,226.49"
129,"-209,220.47","250,890.65"
130,"-175,326.42","347,818.27"
131,"-92,027.30","112,353.52"
132,"228,703.53","130,049.35"
133,"-179,532.83","148,841.79"
134,"243,140.99","115,494.52"
135,"242,775.39","109,354.02"
136,"-139,940.89","293,783.35"
137,"39,894.26","116,984.50"
138,"206,353.62","179,348.13"
139,"227,729.91","111,825.47"
140,"170,940.32","152,794.96"
141,"-174,939.68","243,140.04"
142,"140,588.75","119,324.74"
143,"-170,346.55","163,536.11"
144,"-78,302.91","147,680.78"
145,"93,642.87","143,305.67"
146,"93,642.25","143,307.33"
147,"224,086.32","131,776.61"
148,"-33,521.57","165,350.94"
149,"-170,661.37","346,501.06"
150,"-161,295.07","165,745.14"
151,"93,665.02","143,544.73"
152,"176,222.62","150,589.41"
153,"208,747.06","181,937.08"
154,"241,590.41","108,795.23"
155,"111,501.12","102,609.44"
156,"-194,141.00","130,903.82"
157,"258,956.30","128,479.31"
158,"208,224.92","137,911.97"
159,"-191,292.19","133,874.27"
160,"228,421.61","289,682.40"
161,"-186,469.47","177,413.46"
162,"37,002.35","83,525.39"
163,"-148,123.55","159,661.14"
164,"103,006.67","207,443.89"
165,"-175,467.76","155,064.13"
166,"-165,038.94","164,131.18"
167,"178,692.30","252,950.93"
168,"82,450.85","250,014.67"
169,"160,612.99","149,413.00"
170,"-71,259.63","138,287.58"
171,"109,516.67","105,777.22"
172,"104,118.85","109,602.82"
173,"140,981.38","197,888.48"
174,"245,432.29","128,094.68"
175,"243,764.18","119,068.76"
176,"-131,773.23","202,005.41"
177,"-91,753.80","240,018.89"
178,"228,644.95","116,601.54"
179,"204,831.97","110,627.64"
180,"-166,158.07","162,058.85"
181,"-37,794.39","225,809.62"
182,"180,834.65","93,430.80"
183,"-163,764.90","162,769.91"
184,"242,825.24","149,090.93"
185,"154,785.36","133,404.20"
186,"232,993.15","190,944.08"
187,"-148,276.93","160,062.98"
188,"236,904.03","119,500.92"
189,"-158,017.28","174,533.09"
190,"91,721.67","139,747.00"
191,"239,858.60","109,350.05"
192,"20,588.84","206,569.09"
193,"143,860.45","127,077.57"
194,"200,729.80","278,227.99"
195,"-178,747.86","295,525.25"
196,"226,994.39","128,303.06"
197,"-87,783.63","90,323.30"
198,"218,118.23","187,249.76"
199,"233,561.72","106,356.65"
200,"24,219.76","201,014.85"
201,"212,651.39","114,961.29"
202,"252,211.03","121,789.43"
203,"-170,499.35","176,642.96"
204,"201,202.14","202,921.89"
205,"211,776.87","127,761.02"
206,"153,115.52","188,527.52"
207,"239,259.09","110,089.67"
208,"174,166.11","149,748.40"
209,"219,670.62","104,502.19"
210,"122,590.22","331,975.64"
211,"-33,187.36","166,208.03"
212,"208,773.08","288,561.40"
213,"242,347.46","111,820.13"
214,"220,538.66","181,962.35"
215,"243,172.33","115,733.39"
216,"100,965.41","310,403.70"
217,"170,301.30","284,516.58"
218,"-21,323.99","185,942.39"
219,"-104,999.22","158,112.43"
220,"-148,628.74","101,579.61"
221,"136,098.80","147,570.43"
222,"197,755.01","114,992.34"
223,"-95,887.56","316,365.00"
224,"-169,899.20","163,706.44"
225,"209,718.75","176,879.01"
226,"210,985.69","115,138.45"
227,"-54,666.38","329,029.39"
228,"13,218.80","201,969.76"
229,"239,827.55","109,093.84"
230,"-68,034.92","296,993.61"
231,"-173,113.17","343,454.94"
232,"93,686.37","220,404.83"
233,"-141,713.55","270,957.60"
234,"247,466.69","118,231.66"
235,"-160,457.05","162,348.61"
236,"153,110.81","189,313.03"
237,"-117,212.72","244,478.01"
238,"128,988.08","310,302.52"
239,"-166,250.55","161,348.22"
240,"-157,148.73","151,767.69"
241,"-36,933.59","113,896.34"
242,"111,696.31","108,215.08"
243,"196,098.32","270,544.35"
244,"232,097.90","142,422.17"
245,"176,438.73","145,140.03"
246,"261,837.53","138,128.60"
247,"243,438.78","111,700.48"
248,"-164,316.02","148,066.51"
249,"239,268.24","109,036.45"
250,"181,345.39","251,894.01"
251,"187,904.32","113,286.44"
252,"-132,127.92","145,596.78"
253,"-95,192.01","320,371.10"
254,"-146,935.97","181,126.92"
255,"217,134.20","288,122.70"
256,"214,556.02","179,988.47"
257,"-185,832.95","102,280.80"
258,"238,077.17","117,971.75"
259,"241,851.50","106,759.86"
